# Matter power spectrum P(k) at redshift z=0
# for k=1.04906e-05 to 2118.28 h/Mpc,
# number of wavenumbers equal to 635
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049057020607e-05       4.738855434419e+01 
       2.342383175674e-05       1.029636873408e+02 
       3.640294017534e-05       1.576354811837e+02 
       4.946310172769e-05       2.119664724371e+02 
       6.264010964761e-05       2.662815092379e+02 
       7.597066588263e-05       3.208269695514e+02 
       8.949271320693e-05       3.758154631094e+02 
       1.032457821521e-04       4.314442167290e+02 
       1.172713572397e-04       4.879045744269e+02 
       1.316132670330e-04       5.453877778284e+02 
       1.463181025322e-04       6.040890278617e+02 
       1.614356683682e-04       6.642107389787e+02 
       1.770194710643e-04       7.259651910979e+02 
       1.931272482408e-04       7.895772601218e+02 
       2.098215419412e-04       8.552866321378e+02 
       2.271703181237e-04       9.233504613786e+02 
       2.452476326021e-04       9.940458408058e+02 
       2.641343411152e-04       1.067672068897e+03 
       2.839188474579e-04       1.144553414373e+03 
       3.046978783783e-04       1.225041384850e+03 
       3.265772668417e-04       1.309517191037e+03 
       3.496727158483e-04       1.398393792881e+03 
       3.741105029017e-04       1.492117635575e+03 
       4.000280701917e-04       1.591169766749e+03 
       4.275744276432e-04       1.696065877831e+03 
       4.569102758037e-04       1.807355293212e+03 
       4.882077345954e-04       1.925618174004e+03 
       5.216495450332e-04       2.051460418225e+03 
       5.574275985540e-04       2.185505863563e+03 
       5.957406488859e-04       2.328385871346e+03 
       6.367910822232e-04       2.480724425475e+03 
       6.807806710644e-04       2.643120568512e+03 
       7.279053217476e-04       2.816126475702e+03 
       7.783489465075e-04       3.000224334410e+03 
       8.322767395368e-04       3.195800006439e+03 
       8.898282925935e-04       3.403118555580e+03 
       9.511111168305e-04       3.622301781591e+03 
       1.016195205181e-03       3.853311411635e+03 
       1.085109240391e-03       4.095938856806e+03 
       1.157838913172e-03       4.349805097411e+03 
       1.234327577774e-03       4.614368342466e+03 
       1.314479183095e-03       4.888943239109e+03 
       1.398163138530e-03       5.172698085780e+03 
